iter	Logloss
0	0.3735418697
1	0.3214663096
2	0.2741214281
3	0.2590950565
4	0.2377092102
5	0.2296389776
6	0.2147133686
7	0.2095267306
8	0.2071414193
9	0.1991246231
10	0.1931211182
11	0.1851762534
12	0.183621937
13	0.1778517105
14	0.174754779
15	0.1733638613
16	0.169891957
17	0.1683079193
18	0.1651135741
19	0.1620075001
20	0.1593837934
21	0.1574200891
22	0.1535352409
23	0.1516806062
24	0.1516582405
25	0.1492299991
26	0.1474283478
27	0.1452598079
28	0.1434376893
29	0.1422093085
30	0.1411724059
31	0.1397949131
32	0.1385878062
33	0.1371074283
34	0.1364505909
35	0.1354523211
36	0.1347169164
37	0.1335919121
38	0.1328575488
39	0.1328563265
40	0.1328358303
41	0.1325877803
42	0.1319853819
43	0.1308464855
44	0.1289107768
45	0.1272422104
46	0.1259996283
47	0.1255344433
48	0.1249212483
49	0.1244412244
50	0.124110891
51	0.1231462019
52	0.1228384176
53	0.1223909768
54	0.1222026354
55	0.1213808835
56	0.1202423621
57	0.1201672737
58	0.1195049025
59	0.1185570579
60	0.1183874169
61	0.1178717287
62	0.117066286
63	0.1163310875
64	0.1156650915
65	0.1156085465
66	0.1153719234
67	0.1147236307
68	0.1141207684
69	0.11356925
70	0.1127794439
71	0.1120656132
72	0.1111133142
73	0.1107506645
74	0.1104807411
75	0.1099436776
76	0.1093656979
77	0.1088879157
78	0.108292879
79	0.1077876825
80	0.107114892
81	0.1067939737
82	0.1061962418
83	0.1052533638
84	0.1051229287
85	0.1046987442
86	0.1045687581
87	0.1041494271
88	0.103715672
89	0.1030578047
90	0.1030007465
91	0.1026203488
92	0.1024205909
93	0.1019739328
94	0.101685982
95	0.1013012138
96	0.1010559548
97	0.1006350467
98	0.1000810502
99	0.09973677399
