iter	Passed	Remaining
0	0	72
1	1	76
2	2	72
3	2	69
4	3	67
5	4	66
6	4	64
7	5	63
8	6	61
9	6	60
10	7	59
11	8	58
12	8	58
13	9	57
14	9	56
15	10	55
16	11	54
17	11	53
18	13	56
19	13	54
20	14	54
21	15	53
22	15	52
23	16	51
24	17	52
25	18	51
26	18	50
27	19	49
28	19	48
29	20	47
30	21	47
31	21	46
32	22	45
33	22	44
34	23	43
35	24	43
36	24	42
37	25	42
38	26	41
39	27	40
40	27	39
41	28	39
42	28	38
43	29	37
44	30	37
45	30	36
46	31	35
47	32	34
48	32	34
49	33	33
50	34	33
51	35	32
52	36	32
53	36	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	25
62	42	25
63	43	24
64	44	23
65	44	23
66	45	22
67	46	21
68	46	21
69	47	20
70	48	19
71	48	18
72	49	18
73	50	17
74	50	16
75	51	16
76	52	15
77	52	14
78	53	14
79	54	13
80	54	12
81	55	12
82	55	11
83	56	10
84	57	10
85	58	9
86	59	8
87	59	8
88	60	7
89	61	6
90	61	6
91	62	5
92	63	4
93	63	4
94	64	3
95	65	2
96	66	2
97	66	1
98	67	0
99	68	0
